Headline,Date,Content,scores,compound_scores
"Top stories from The Straits Times on Wednesday, Feb 20",Feb 20 2019,"Good morning! Here are our top stories to kick-start your Wednesday, Feb 20. But some were concerned that the benefits under the Merdeka Generation Package would not be enough to defray the medical costs of chronic conditions. The supermoon coincides with the annual Lantern Festival, which marks the end of the 15-day Chinese New Year celebrations. The Finance Minister highlighted how families in the lowest 20 per cent by household income get $4 of benefit for every dollar they pay in taxes. MFA said discussions were overshadowed by new issues that had arisen over the Johor Baru Port Limits and the Seletar Instrument Landing System procedures. Photos of one such list were leaked by American Mikhy Farrera Brochez last Saturday. The latest measure to tighten the GST import relief is an unnecessary inconvenience, said several frequent travellers. This is because Huawei sells equipment said to be about 10 per cent cheaper than its rivals and has widespread ""lock-in"" to its technology for a cheap and quick migration to 5G. Observers warned that China's grand plan to turn Hong Kong, Macau and nearby cities into a global innovation hub could present competition to cities like Singapore. US President Donald Trump said that trade talks with China were going well and suggested he was open to pushing off the deadline to complete negotiations.","{'neg': 0.045, 'neu': 0.843, 'pos': 0.112, 'compound': 0.945}",0.945
"Climate change an 'imminent' security threat, risk experts say",Feb 20 2019,"THE HAGUE () - Climate change threats - from worsening water shortages in Iraq and Pakistan to harsher hurricanes in the Caribbean - are a growing security risk and require concerted action to ensure they don't spark new violence, security experts warned on Tuesday (Feb 19). ""Climate change is not about something in the far and distant future. We are discussing imminent threats to national security,"" said Ms Monika Sie Dhian Ho, general director of the Clingendael Institute, a Dutch think tank. The drying of Africa's Lake Chad basin, for instance, has helped drive recruitment for Islamist militant group Boko Haram among young people unable to farm or find other work, said geography professor Haruna Kuje Ayuba of Nigeria's Nasarawa State University. ""People are already deprived of a basic livelihood,"" he said at a conference on climate and security at The Hague. ""If you give them a little money and tell them to destroy this or kill that, they are ready to do it."" Iraq, meanwhile, has seen its water supplies plunge as its upstream neighbours build dams and climate change brings hotter and dryer conditions to Baghdad, said Mr Hisham Al-Alawi, Iraq's ambassador to the Netherlands. ""Overall, we are getting less by nearly 40 per cent of the waters we used to get,"" he told the conference. Shoring up the country's water security, largely by building more storage and cutting water losses, will take nearly US$80 billion (S$108 billion) through 2035, he said. Faced with more heat and less rain, ""we need to be wise and start planning for the future, as this trend is likely to continue"", he said. The threat of worsening violence related to climate change also extends to countries and regions not currently thought of as insecurity hot spots, climate and security analysts at the conference warned. The Caribbean, for instance, faces more destructive hurricanes, coral bleaching, sea-level rise and looming water shortages that threaten its main economic pillars, particularly tourism. ""We're facing an existential crisis in the Caribbean,"" said Mr Selwin Hart, the Barbados-born executive director of the Inter-American Development Bank. Ninety per cent of the region's economic activity - particularly tourism, fishing and port operations - takes place on the threatened coastline, he said. Hurricanes, in recent years, have flattened the economies of some Caribbean nations, with Hurricane Maria in 2017 costing Dominica about 225 per cent of its gross domestic product, according to World Bank estimates. But as the global emissions that drive climate change continue to rise, ""there's not a realistic chance of achieving the goals of the Paris Agreement"", Mr Hart suggested. The agreement calls for a rapid shift away from fossil fuels to hold the global average temperature rise to well below 2 deg C. The failure to cut emissions means the Caribbean, while doing what it can to become more resilient to the growing risks, also needs ""to plan for the worst-case scenario"", Mr Hart said. Mr Ronald Jackson, executive director of the Caribbean Disaster Emergency Management Agency, said the region is trying to do that by building coordination and assistance networks among Caribbean states and looking to shore up access to food and water, among other changes. Often, that work requires persuading officials from very different ministries - finance, tourism, agriculture, water, energy and security, for instance - to sit down together and coordinate plans, said Mr Jackson. And the work has to be done quickly, he said. Last October, the world's climate scientists warned that to hold global temperature hikes to 1.5 deg C, global energy systems would have to dramatically shift in the next dozen years. ""Before the 1.5 degree report came out, we were looking at a much longer time frame (for change),"" Mr Jackson said. ""But now it's the 2020s, early 2030s. We're out of time. We have to act now."" Military officials around the world have increasingly recognised the risks associated with climate change, and moved to shore up bases against sea-level rise, curb military emissions, adopt clean energy and analyse changing risks. At the Planetary Security conference at the Hague on Tuesday, they announced the creation of a new International Military Council on Climate and Security, made up of senior military leaders from around the world. The panel aims to help build policy to address climate security risks at national, regional and international levels, backers said. ""Climate change fuels the roots of conflict around the globe and poses a direct threat to populations and installations in coastal areas and small islands,"" said General Tom Middendorp, a former Dutch defence chief who will chair the new council.","{'neg': 0.115, 'neu': 0.81, 'pos': 0.075, 'compound': -0.9873}",-0.9873
"Singapore private home prices not set for 'big bump,' says CapitaLand",Feb 20 2019,"SINGAPORE () - Private home prices in Singapore are unlikely to stage a rapid rebound after the Government imposed further property curbs in mid-2018, the finance chief of the country's largest developer said. ""If we see a 5 per cent increase in home prices, I think that will be a pretty good year for the Singapore residential market,"" CapitaLand chief financial officer Andrew Lim said in an interview with Bloomberg Television on Wednesday (Feb 20). ""The severity and extent of the measures in July caught us by surprise,"" he said. Private home prices posted their first decline in six quarters in the last three months of 2018. In July, the Government imposed higher stamp duties and tougher loan-to-value rules to choke off a sudden bout of exuberance. The earlier resurgence had been marked by aggressive land bids from developers and an explosion in collective sales, where apartment owners band together to sell entire buildings. ""We agree with the main view on the street, which is that we don't expect a big bump up any time soon,"" Mr Lim said. CapitaLand's profit rose 71 per cent to $475.7 million in the quarter ended Dec 31, the company said earlier on Wednesday. The developer agreed last month to acquire Temasek units Ascendas and Singbridge, bolstering its assets to more than $116 billion across 180 cities in 32 countries.","{'neg': 0.033, 'neu': 0.884, 'pos': 0.083, 'compound': 0.891}",0.891
South Korea to begin 5G mobile network services in March,Feb 20 2019,"SEOUL - South Korea is set to become the first country in the world to start commercial operations of   in March, its finance minister said on Wednesday (Feb 20), Yonhap news agency reported. Mr Hong Nam-ki made the announcement at a meeting in Seoul with senior officials on innovation-led growth. During the Pyeongchang Winter Olympics in 2018, a pilot trial service of the 5G system was conducted by KT Corp, the country's leading wireless and fixed-line services provider. It was reportedly the first trial of its kind in the world, Yonhap said. 5G data transmission speeds are 40 to 50 times faster than the existing 4G network or long-term evolution (LTE) technology, and is expected to open up a wide range of new business opportunities for the communication service sector. The system also allows greater numbers of people to communicate with one another at the same time and promises to open vast markets for devices and services.","{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.9136}",0.9136
"Malaysia's Defence Ministry lost over $160m from land swop deals, says minister",Feb 20 2019,"PETALING JAYA () - Malaysian Defence Ministry lost more than RM500 million (S$166 million) from several land swop deals worth RM4.75 billion, said its minister Mohamad Sabu. Mr Mohamad said his ministry has received a report from the Governance, Procurement and Finance Investigating Committee led by former Auditor-General Ambrin Buang on the land swop deals, which was discussed in last Wednesday's (Feb 13) Cabinet meeting. ""The committee investigated 16 deals involving 2,932 acres of land belonging to the ministry. In addition to the land value, the cost of the projects is estimated to be RM4.88 billion,"" he said in a statement on Tuesday (Feb 19). He added that the ministry was informed that a majority of the land swop projects were implemented without detailed planning. The selection of the developer companies was also not done with due diligence. When it came to the selection of the land swop locations, Mr Mohamad, also known as Mat Sabu, said that there was also ""political interference from certain quarters"". ""This resulted in parts of the projects exceeding the contractual duration initially agreed upon. Keep up with the latest in the region with the ST Asian Insider newsletter, delivered to your inbox every weekday By signing up, you agree to our   and  ""Alongside this, some projects were completed, but the construction quality is unsatisfactory,"" he said. He instructed his officers to file reports with the police, the Malaysia Anti-Corruption Commission (MACC) and relevant agencies so that investigations can be conducted. Last April, former Umno minister Rafidah Aziz publicly alleged that land belonging to the Armed Forces had been swopped by a company supposedly under the control of three key individuals. However, former defence minister Hishammuddin Hussein ","{'neg': 0.006, 'neu': 0.956, 'pos': 0.038, 'compound': 0.631}",0.631
Sunvic Chemical to form panel to probe further into guarantees for $44.3m in loans,Feb 20 2019,"SINGAPORE - Sunvic Chemical Holdings will be appointing, at the request of its independent directors, a special investigative committee - comprising external auditors and legal advisers - to probe further into corporate guarantees provided for loans amounting to some 222.5 million yuan (S$44.3 million), which was Its subsidiaries, Yixing Yinyan Import & Export Co (Yixing Yinyan) and Jiangsu Jurong Chemical Co (Jiangsu Jurong), had received letters of demand in relation to these corporate guarantees. In addition, the board is temporarily suspending the rights of the subsidiaries' legal representatives given their involvement in providing the guarantees. This is to ensure that both of them would not be able to enter into any agreement for and on behalf of Jiangsu Jurong and Yixing Yinyan without the prior approval of Sun Xiao, executive director and CEO of Sunvic Chemical, the company said in its filing with the Singapore Exchange (SGX). Jiangsu Jurong's legal representative Yang Guoqiang also has his rights as a Sunvic Chemical director temporarily suspended. Liu Wen represents Yixing Yinyan and is vice-president of banking and finance for China operating entities. Corporate guarantees were extended to the borrowers - Jiangsu Donglai Real Estate Development Co (Jiangsu Donglai) and Jiangsu Dahe Lvjian Chemical Co (Jiangsu Dahe). Yixing Yinyan had extended a corporate guarantee to Jiangsu Donglai, whose creditor is Yixing City Futao Rural Micro Credit Co (YFC), while Jiangsu Jurong extended a corporate guarantee Jiangsu Dahe, whose creditor is Bank of China (BOC). The company, in response to the SGX's queries on why the guarantees were extended in the first place, said that the YFC guarantee was extended by Yixing Yinyan to Jiangsu Donglai at the verbal request of the borrower and its bank to facilitate the grant of a YFC loan to Jiangsu Donglai. This was coordinated by the Chinese government, with the intent to enhance and promote the relationship between Yixing Yinyan and Jiangsu Donglai's bank. The YFC loan was a bridging loan to allow Jiangsu Donglai to repay its bank. Jiangsu Donglai had expected its bank to release the same amount back to it within one week to repay the YFC loan. Mr Liu represented Yixing Yinyan in both instances. Sunvic Chemical had earlier said that a member of the management did not have board approval before signing the YFC corporate guarantee. The company clarified that Mr Liu was the member of management and that he had executed the guarantee on his own initiative as the legal representative. ""The execution of the YFC corporate guarantee was not expressly authorised by any member of the board. No member of the board was aware of the execution of the YFC corporate guarantee at the time the YFC Corporate Guarantee was entered into,"" Sunvic Chemical said in the filing. Meanwhile, the BOC corporate guarantee was extended to Jiangsu Dahe because of a cross-guarantee agreement with Jiangsu Jurong. Under this Dahe guarantee arrangement - started in 2010 - both parties would provide corporate guarantees to help each other secure their own bank loans at the time. Mr Yang was the representative then. Sunvic Chemical also clarified that Mr Yang, a board member, had executed the BOC corporate guarantee on his own initiative as the legal representative of Jiangsu Jurong. This was not ""expressly authorised"" by any other member of the board, Sunvic Chemical said, adding that no other member of the board was aware of the execution of the BOC corporate guarantee at the time.","{'neg': 0.027, 'neu': 0.871, 'pos': 0.102, 'compound': 0.9875}",0.9875
Some companies may struggle to adopt technology to cut reliance on foreign workers: Panel,Feb 20 2019,"SINGAPORE - The tightening of the foreign worker quota will push companies to adopt technology to address manpower needs, but panellists at an event hosted by radio station Money FM 89.3 say some companies may struggle to make the switch.Sue-Ann Tan The panel comprising chairman of SME Centre @ ASME Irene Boey, UOB economist Barnabas Gan and chairman of the Association of Chartered Certified Accountants (ACCA) Singapore Network Panel James Lee was discussing the Budget on Wednesday (Feb 20). In particular the panellists focused on the Dependency Ratio Ceiling (DRC) in the services sector, which Finance Minister Heng Swee Keat  . He said this was to reduce the reliance on foreign workers and to get companies to upgrade Singaporean workers and build deep capabilities in sectors such as the Food and Beverage industry and retail, both of which remain very labour-intensive. On Jan 1 next year, the proportion of foreign workers a firm can employ will drop from 40 per cent to 38 per cent. It will drop to 35 per cent on Jan 1, 2021. For the subset S Pass workers - mid-skilled foreigners earning at least $2,300 a month - the quota will be cut from 15 per cent to 13 per cent on Jan 1 next year, and to 10 per cent on Jan 1, 2021. Speaking at the event sponsored by UOB, Ms Boey said the Government should be lauded for trying to get the services sector to restructure more quickly, but added some segments may need more time. Receive e-mail newsletter on key announcements and how they affect you. By signing up, you agree to our   and  ""We have advance notice and it will be rolled out in phases, which we are grateful for, but the deferment of lowering the DRC in certain segments might be necessary."" She said each market should be looked at differently. ""In this sector, service by humans is the main differentiator (between businesses),"" she said, adding that there is a need to understand the problems some companies face and why they cannot transform as quickly as the others. Mr Gan said while the switch from a reliance on foreign workers to reskilling locals is the right move, he added: ""It is not just about the number of jobs, but the quality of jobs."" However, he added that the Budget signals to businesses that they ""must prepare for the next 10 years to come rather than the here-and-now"". Mr Lee noted that the tightened quotas will push companies to look to technology for solutions. He said: ""If you look at it in the long-term, the DRC is a good thing as it forces us to think harder of the solutions available. ""If I have one nurse caring for five patients today and next time it will be eight patients, that is where technology can come in to make it more efficient."" In getting small and medium-sized enterprises (SMEs) to adopt technology to innovate and grow, Ms Boey said there should not be a “one-size-fits-all” approach. ""More than 60 per cent of SMEs are micro enterprises, which are those with less than $1 million in annual revenue, so the schemes have to take that into consideration. ""We have to consider the affordability of a scheme to a micro enterprise, as opposed to a medium or large enterprise,"" she added. Mr Gan said economists welcomed the initiatives for SMEs to innovate and grow, which were announced in the Budget. They include the new Scale-up SG programme - to help local firms grow and innovate - and an expansion of the SMEs Go Digital programme, to cover a larger number and wider range of cost-effective, pre-approved digital solutions. Mr Gan said businesses are the heart of the economy and most of the labour supply is dedicated to SMEs. He said: “We understand that businesses are the heart of the economy and most of the labour supply is dedicated to SMEs. ","{'neg': 0.025, 'neu': 0.886, 'pos': 0.089, 'compound': 0.992}",0.992
Budget roundtable throws up ideas to retain older workers,Feb 21 2019,"Redesigned jobs, flexible work arrangements with fair pay, and a dedicated job portal are some ways to help older Singaporeans stay in the workforce, experts said at a roundtable following Adrian Lim . Another suggestion was to look at more closely aligning the retirement age, currently at 62, with the  , which is 65. These were among the ideas given by four panellists at The Straits Times Roundtable on Singapore Budget 2019 yesterday, where they discussed the  . In the hour-long session, moderated by ST associate editor Vikram Khanna, the experts gave their views on the various initiatives to , as well as measures to address issues such as healthcare costs and social mobility. They also delved into the issue of support for older workers. During his   Finance Minister Heng Swee Keat said the  , which incentivise and encourage employers to hire senior workers, will both be extended for another year, until Dec 31 next year. Mr Heng added that a tripartite work group studying the concerns of older workers will present its recommendations later this year. Singapore University of Social Sciences economist Walter Theseira, one of the panellists, called for more flexible work arrangements for older workers, who may not want to work at the same level of intensity as before. But the pay must be equitable, the Nominated MP noted. ""If somebody either can't work at full capacity or doesn't want to, then of course their wages have to adjust to some extent. Flexibility has to be there, but it has to be done in a way that is not unfair to the older worker,"" he said. Professor Theseira said the Government could study aligning the retirement age with the CPF eligible payout age. He made the point that there is a ""gap"" between when workers are legally protected from being unfairly dismissed due to age and when their retirement support can begin. While there are guidelines leading up to the re-employment age of 67, workers do not have certainty in the conditions of employment, he added. UOB economist Barnabas Gan suggested a job portal through which older workers can get part-time contract jobs. Compared with one or two decades ago, senior workers today are more educated and could contribute in consultative or mentorship roles in companies, Mr Gan said. Labour MP Patrick Tay said there needs to be more efforts to redesign jobs to make them ""easier, safer and smarter"" for older workers by leveraging technologies such as artificial intelligence or digitalisation. Mr Tay, who is an NTUC assistant secretary-general, said society's mind-set as a whole has to change, to be more accepting of senior workers. Singapore Business Federation chief executive Ho Meng Kit expects the tripartite work group to recommend regulations for the employment of older workers.","{'neg': 0.014, 'neu': 0.888, 'pos': 0.098, 'compound': 0.99}",0.99
Malaysia's defence ministry lost over $160m from land swop deals: Minister,Feb 21 2019,"PETALING JAYA • Malaysia's defence ministry has lost more than RM500 million (S$166 million) due to several swop deals involving land valued at RM4.75 billion, said Defence Minister Mohamad Sabu. Mr Mohamad said his ministry has received a report from the Governance, Procurement and Finance Investigating Committee led by former auditor-general Ambrin Buang on the land swop deals, which was discussed in last Wednesday's Cabinet meeting. ""The committee investigated 16 deals involving 2,932 acres (1,190ha) of land belonging to the ministry. In addition to the land value, the cost of the projects is estimated to be RM4.88 billion,"" he said in a statement on Tuesday. He added that the ministry was informed that a majority of the land swop projects were implemented without detailed planning. The selection of developer companies was also not done with due diligence, he said. When it came to the selection of the land swop locations, Mr Mohamad said there was ""political interference from certain quarters"". ""This resulted in parts of the projects exceeding the contractual duration initially agreed upon. Alongside this, some projects were completed, but the construction quality is unsatisfactory,"" he said. He instructed his officers to file reports with the police, the Malaysian Anti-Corruption Commission and relevant agencies so that investigations can be conducted. Last April, former minister Rafidah Aziz alleged that land belonging to the armed forces had been swopped by a company supposedly under the control of three key individuals. However, former defence minister Hishammuddin Hussein denied the allegation, saying that it was an ""outright lie"".","{'neg': 0.021, 'neu': 0.937, 'pos': 0.042, 'compound': 0.0644}",0.0644
"Budget 2019: Tighter foreign worker quota may be tough on some firms, say panellists",Feb 21 2019,"The tightening of the foreign worker quota will push companies to adopt technology to address manpower needs, but panellists at an event hosted by radio station Money FM 89.3 said some firms may struggle to make the switch.Sue-Ann Tan The panel, comprising SME   chairman Irene Boey, UOB economist Barnabas Gan and the Association of Chartered Certified Accountants' (ACCA) Singapore Network Panel chairman James Lee, was discussing the Budget yesterday. In particular, the panellists focused on the Dependency Ratio Ceiling (DRC) in the service sector, which  Ms Boey said the Government should be lauded for trying to get the service sector to restructure more quickly, but added that some segments may need more time. ""We have advance notice and it will be rolled out in phases, which we are grateful for, but the deferment of lowering the DRC in certain segments might be necessary,"" she said. Speaking at the event sponsored by UOB, Ms Boey noted that in the sector, ""service by humans is the main differentiator (between businesses)"", and there is a need to understand the problems some companies face and why they cannot transform as quickly as others. In his Budget speech, Mr Heng said the DRC cut is aimed at reducing the reliance on foreign workers. Receive e-mail newsletter on key announcements and how they affect you. By signing up, you agree to our   and  It is also aimed at getting companies to upgrade Singaporean workers and build deep capabilities in sectors such as food and beverage, and retail, both of which remain very labour-intensive. On Jan 1 next year, the proportion of foreign workers a firm can employ will drop from 40 per cent to 38 per cent. It will drop to 35 per cent on Jan 1, 2021. For the subset S Pass workers - mid-skilled foreigners earning at least $2,300 a month - the quota will be cut from 15 per cent to 13 per cent on Jan 1 next year, and to 10 per cent on Jan 1, 2021. Mr Gan said that the switch from a reliance on foreign workers to reskilling locals is the right move, but he added: ""It is not just about the number of jobs, but the quality of jobs."" However, he acknowledged that the Budget signals to businesses that they ""must prepare for the next 10 years to come rather than the here and now"". Mr Lee noted that the tightened quotas will push companies to look to technology for solutions. He said: ""If you look at it in the long term, the DRC is a good thing as it forces us to think harder of the solutions available. ""If I have one nurse caring for five patients today, and next time it will be eight patients, that is where technology can come in to make it more efficient."" In getting small and medium-sized enterprises (SMEs) to adopt technology to innovate and grow, Ms Boey said there should not be a ""one-size-fits-all"" approach. ""More than 60 per cent of SMEs are micro enterprises, which are those with less than $1 million in annual revenue, so the schemes have to take that into consideration. ""We have to consider the affordability of a scheme to a micro enterprise, as opposed to a medium or large enterprise,"" she added. Mr Gan said economists welcomed the initiatives for SMEs to innovate and grow, which were announced in the Budget. They include the new Scale-up SG programme - to help local companies grow and innovate - and an expansion of the SMEs Go Digital programme, to cover a larger number and wider range of cost-effective, pre-approved digital solutions. Mr Gan said: ""We understand that businesses are the heart of the economy and most of the labour supply is dedicated to SMEs.","{'neg': 0.03, 'neu': 0.883, 'pos': 0.087, 'compound': 0.989}",0.989
Don't expect quick rebound in private home prices: CapitaLand,Feb 21 2019,"Private home prices in Singapore are unlikely to stage a rapid rebound after the Government imposed further property curbs in mid-2018, the finance chief of the country's largest developer said. ""If we see a 5 per cent increase in home prices, I think that will be a pretty good year for the Singapore residential market,"" CapitaLand chief financial officer Andrew Lim said in an interview with Bloomberg Television yesterday. ""The severity and extent of the measures in July caught us by surprise,"" he added. Private home prices posted their  In July, the Government imposed higher stamp duties and tougher loan-to-value rules to choke off a sudden bout of exuberance. The earlier resurgence had been marked by aggressive land bids from developers and an explosion in collective sales, where apartment owners band together to sell entire buildings. ""We agree with the main view on the street, which is that we don't expect a big bump up any time soon,"" Mr Lim said. $5.6 billion (+21.3%) $1.76 billion (+12.3 %)  12 cents CapitaLand's profit  up from $277.8 million last year, it said yesterday. The higher earnings were also underpinned by greater contributions from residential projects in China, as well as newly acquired and operational properties, CapitaLand said. The developer agreed last month to acquire Temasek units Ascendas and Singbridge, bolstering its assets to more than $116 billion across 180 cities in 32 countries. The deal adds logistics centres and business parks to its portfolio of residential, retail and commercial property. President and group chief executive Lee Chee Koon said: ""The transaction will strengthen our presence and pipeline in our core markets - Singapore and China. It will give us immediate scale in new economy sectors such as logistics and business parks, and in growth markets such as India, the US and Europe."" On a per share basis, earnings came in at 11.4 cents for the quarter, up from 6.5 cents a year earlier. Revenue climbed 34 per cent to $1.62 billion, up from $1.21 billion for the year-ago period. This was mainly due to higher handover of units from residential projects in China and Vietnam, as well as rental revenue from newly acquired or operational properties in Singapore, China, Germany and the United States. Residential projects that contributed to the revenue this quarter were Vermont Hills in Beijing, New Horizon in Shanghai, and Century Park East in Chengdu, as well as Sky Habitat and The Interlace here. The two core markets of Singapore and China accounted for 75.9 per cent of the group's revenue, up from 74.5 per cent for the year-ago quarter. The board is proposing a dividend of 12 cents a share for financial year 2018, unchanged from the previous financial year. Full-year net profit was up 12.3 per cent to $1.76 billion, as revenue rose 21.3 per cent to $5.6 billion. This translated to earnings per share of 42.1 cents for the 12 months ended Dec 31, up from 37 cents in the preceding year. The group said having a ""diversified asset base with strong operating expertise"" has allowed it to navigate macroeconomic uncertainties that affected market and business sentiments in FY2018. Shares of CapitaLand closed yesterday at $3.43 apiece, up four cents, or 1.18 per cent.","{'neg': 0.023, 'neu': 0.882, 'pos': 0.095, 'compound': 0.9884}",0.9884
STI reverses Tuesday's losses with 0.6% gain,Feb 21 2019,"Local shares showed some life yesterday after a tepid start to the week, although there was not much to write home about in the end. The extra buzz about the place allowed the Straits Times Index (STI) to reverse Tuesday's losses with a gain of 0.57 per cent, or 18.58 points, to 3,278.38. There were 1.35 billion shares worth $1.12 billion traded, with gainers trumping losers 249 to 167. Only five of the 30 STI constituents ended in the red but they included DBS, which fell 0.08 per cent to $25.08. News broke yesterday morning that the bank is revamping its retail stock-brokerage operations and exploring alternative models to its broking arm, DBS Vickers. It is believed a townhall meeting has been called amid rumours that DBS plans to move good performers into wealth management and drop non-performing remisiers. DBS had earlier reported fourth-quarter results, which missed some forecasts, with analysts cutting their target prices for the counter. Other decliners yesterday included Creative Technology, which fell 0.82 per cent to $4.81, despite having been ""blessed"" by Finance Minister Heng Swee Keat, in one trader's words. But that bit of gloom did not dampen spirits, especially for Sembcorp Marine. The counter surged 6.33 per cent to $1.68 and was the day's fifth-most active stock by traded value. This came despite the offshore engineering group's sharp drop in fourth-quarter earnings, as analysts and traders said the results beat their expectations. DBS analyst Yeo Kee Yan also highlighted the fact that oil prices have risen in the past three weeks, which should help Sembcorp Marine's stock price. Indeed, pricier crude appeared to lift optimism on energy-related firms. Aside from SembMarine, Sembcorp Industries and Keppel Corp also traded up. Sembcorp Industries added 3.5 per cent to $2.66, while Keppel Corp closed up 3.27 per cent at $6.32. On the property front, CapitaLand rose as much as 1.5 per cent after reporting a 71.2 per cent surge in fourth-quarter profit and declaring a dividend of 12 cents a share. The counter finished 1.18 per cent higher at $3.43. Sasseur Reit added 4.05 per cent to 77 cents after fourth-quarter distribution per unit beat forecasts a day earlier.","{'neg': 0.066, 'neu': 0.835, 'pos': 0.098, 'compound': 0.9169}",0.9169
AI start-up ViSenze raises $27m in Series C funding,Feb 21 2019,"A start-up that sells artificial intelligence (AI) technology to boost e-commerce has raised US$20 million (S$27 million) in Series C funding. The financing for ViSenze was led by venture capital firm Gobi Partners and venture investor Sonae IM. Other participants included new investors Tembusu ICT Fund and 31Ventures Global Innovation Fund, and existing investors such as Rakuten Ventures, Singapore Press Holdings Ventures and UOB Venture Management. Gobi Partners focuses on innovative technology companies in China, Hong Kong and South-east Asia. Sonae IM is a European-based investor specialising in retail and telco tech as well as cyber security. Founded in 2012, ViSenze sells AI technology to consumer brands so online shoppers can replace keyword-based product searches with digital images, effectively driving recommendations with image data. Its proprietary image recognition technology allows products to be searched through features such as style and occasion, or visual attributes like colours and patterns. The technology is used by major brands for visual trend analytics, social insights, price discovery and competitive strategising. ViSenze said its solutions have linked over 400 million products from more than 800 merchants on its global affiliate network. Its clients include Rakuten, ASOS, Urban Outfitters and Zalora. The latest funding round will enable ViSenze to further invest in tie-ups with smartphone makers, as well as consumer and social communication applications. Its partners include Samsung, LG and Huawei. ViSenze reported an annual revenue growth rate of over 200 per cent. Its headcount has tripled over the past three years to about 80, with offices in Singapore, China, Britain, the United States, South Korea and Japan. Gobi Partners managing director Dan Chong said on Tuesday: ""The e-commerce markets across the world continue to expand and shoppers are becoming more mobile-centric. ""As ViSenze helps its clients to capture this group of consumers and adapt to their shopping behaviour, the opportunity to scale its business significantly presents itself."" Sonae IM chief executive Eduardo Piedade said: ""With more retailers and brands offering visual search capabilities... to accelerate the time to purchase and improve the buying experience, we see the technology continuing to shape the future of retail.""","{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.9888}",0.9888
"Top stories from The Straits Times on Thursday, Feb 21",Feb 21 2019,"There was great concern among the medical fraternity that the judgment would lead to doctors dumping an overload of information on patients to protect themselves. A record 37,114 COEs were extended beyond their 10-year lifespan last year - about 20 per cent more than in 2017, the previous record year. US President Donald Trump held out the prospect of an easing of tough sanctions on the country, but only if it does ""something that's meaningful"" on denuclearisation. Still, MHA said Singapore remains relatively drug-free, and ""this is significant against the backdrop of a more challenging global and regional drug supply situation"". Receive e-mail newsletter on key announcements and how they affect you. By signing up, you agree to our   and  Another suggestion was to look at more closely aligning the retirement age, currently at 62, with the CPF payout eligibility age, which is 65. Younger Singaporeans facing disrupted careers and the uncertainties of a gig economy may have lower CPF balances and need even more help with healthcare financing. The Government can do only so much and the community has a role to play, says ST senior social affairs correspondent Theresa Tan. ""If we see a 5 per cent increase in home prices, I think that will be a pretty good year for the Singapore residential market,"" said CapitaLand CFO Andrew Lim. One area where the board could have oversight would be political content, which a regional centre in Singapore will be monitoring closely.","{'neg': 0.04, 'neu': 0.824, 'pos': 0.136, 'compound': 0.9751}",0.9751
